任务名,时间,区块号,训练数据量,测试井号,测试数据量,准确率,其他
预测是否溢流,2023/11/11,9,23582,[11],3174,0.490233144,y是detected
预测是否溢流,2023/11/11,9,20951,[21],5805,0.491472868,y是detected
预测是否溢流,2023/11/11,9,22823,[17],3933,0.448004068,y是detected
预测是否溢流,2023/11/11,9,12912,[111],13844,0.271164403,y是detected
,,区块号,训练数据量,测试井号,测试数据量,准确率,
预测是否溢流,2023/11/11,2,148831,[7],8244,0.852256186,y是detected
预测是否溢流,2023/11/11,2,152308,[14],4767,0.551919446,y是detected
预测是否溢流,2023/11/11,2,135721,[32],21354,0.884611782,y是detected
预测是否溢流,2023/11/11,2,156808,[38],267,0.456928839,y是detected
预测是否溢流,2023/11/11,2,108301,[40],48774,0.45458646,y是detected
预测是否溢流,2023/11/11,2,145990,[52],11085,0.758773117,y是detected
预测是否溢流,2023/11/11,2,152955,[55],4120,1,y是detected
预测是否溢流,2023/11/11,2,141234,[58],15841,0.620036614,y是detected
预测是否溢流,2023/11/11,2,148435,[2],8640,0.600462963,y是detected
预测是否溢流,2023/11/11,2,151823,[70],5252,0.973914699,y是detected
预测是否溢流,2023/11/11,2,143584,[78],13491,0.972870803,y是detected
预测是否溢流,2023/11/11,2,141835,[108],15240,0.802362205,y是detected
,,区块号,训练数据量,测试井号,测试数据量,准确率,
预测是否溢流,2023/11/11,1,14714,[8],8355,0.712746858,y是detected
预测是否溢流,2023/11/11,1,18154,[63],4915,0.5017294,y是detected
预测是否溢流,2023/11/11,1,13270,[23],9799,0.430758241,y是detected
,,区块号,训练数据量,测试井号,测试数据量,准确率,
预测是否溢流,2023/11/11,15,15846,[36],3480,0.42816092,y是detected
预测是否溢流,2023/11/11,15,18133,[46],1193,0.879295893,y是detected
预测是否溢流,2023/11/11,15,15200,[56],4126,0.360639845,y是detected
预测是否溢流,2023/11/11,15,8799,[86],10527,0.615939964,y是detected
,,区块号,训练数据量,测试井号,测试数据量,准确率,
预测是否溢流,2023/11/14,9,23582,[11],3174,0.490233144,y是detected，并且使用新数据
预测是否溢流,2023/11/14,9,20951,[21],5805,0.491472868,y是detected，并且使用新数据
预测是否溢流,2023/11/14,9,22823,[17],3933,0.511568777,y是detected，并且使用新数据
预测是否溢流,2023/11/14,9,12912,[111],13844,0.271164403,y是detected，并且使用新数据
,,区块号,训练数据量,测试井号,测试数据量,准确率,
预测是否溢流,2023/11/14,2,148831,[7],8244,0.852256186,y是detected，并且使用新数据
预测是否溢流,2023/11/14,2,152308,[14],4767,0.551919446,y是detected，并且使用新数据
预测是否溢流,2023/11/14,2,135721,[32],21354,0.879085886,y是detected，并且使用新数据
预测是否溢流,2023/11/14,2,156808,[38],267,0.449438202,y是detected，并且使用新数据
预测是否溢流,2023/11/14,2,108301,[40],48774,0.533480953,y是detected，并且使用新数据
预测是否溢流,2023/11/14,2,145990,[52],11085,0.744880469,y是detected，并且使用新数据
预测是否溢流,2023/11/14,2,152955,[55],4120,1,y是detected，并且使用新数据
预测是否溢流,2023/11/14,2,141234,[58],15841,0.517454706,y是detected，并且使用新数据
预测是否溢流,2023/11/14,2,148435,[2],8640,0.684027778,y是detected，并且使用新数据
预测是否溢流,2023/11/14,2,151823,[70],5252,0.968012186,y是detected，并且使用新数据
预测是否溢流,2023/11/14,2,143584,[78],13491,0.896152991,y是detected，并且使用新数据
预测是否溢流,2023/11/14,2,141835,[108],15240,0.731955381,y是detected，并且使用新数据
,,区块号,训练数据量,测试井号,测试数据量,准确率,
预测是否溢流,2023/11/14,1,14714,[8],8355,0.652184321,y是detected，并且使用新数据
预测是否溢流,2023/11/14,1,18154,[63],4915,0.5017294,y是detected，并且使用新数据
预测是否溢流,2023/11/14,1,13270,[23],9799,0.430758241,y是detected，并且使用新数据
,,区块号,训练数据量,测试井号,测试数据量,准确率,
预测是否溢流,2023/11/14,15,15846,[36],3480,0.42816092,y是detected，并且使用新数据
预测是否溢流,2023/11/14,15,18133,[46],1193,0.879295893,y是detected，并且使用新数据
预测是否溢流,2023/11/14,15,15200,[56],4126,0.377120698,y是detected，并且使用新数据
预测是否溢流,2023/11/14,15,8799,[86],10527,0.615939964,y是detected，并且使用新数据
,,区块号,训练数据量,测试井号,测试数据量,准确率,
预测是否溢流,2023/11/14,9,23582,[11],3174,0.490233144,y是detected，并且使用新数据
预测是否溢流,2023/11/14,9,20951,[21],5805,0.491472868,y是detected，并且使用新数据
预测是否溢流,2023/11/14,9,22823,[17],3933,0.511568777,y是detected，并且使用新数据
预测是否溢流,2023/11/14,9,12912,[111],13844,0.271164403,y是detected，并且使用新数据
,,区块号,训练数据量,测试井号,测试数据量,准确率,
